"Site","TransectDepth","Replicate","Latin","SiteID","SpeciesID","Count","Biomass","Hi_Lo","Site_Richness","Site_Abundance","Site_Biomass"
"Josef","3","1","Cymatogaster aggregata","Josef_3_1","Josef_3_1_Cymatogaster aggregata",0,0,"High",7,78,3728.68
"McKenzie","3","1","Cymatogaster aggregata","McKenzie_3_1","McKenzie_3_1_Cymatogaster aggregata",0,0,"Low",7,24,3056.39
"Porlier","3","1","Cymatogaster aggregata","Porlier_3_1","Porlier_3_1_Cymatogaster aggregata",44,272.54,"High",7,85,5459.05
"Snake","3","1","Cymatogaster aggregata","Snake_3_1","Snake_3_1_Cymatogaster aggregata",0,0,"Low",1,1,1.86
"Anniversary","15","1","Cymatogaster aggregata","Anniversary_15_1","Anniversary_15_1_Cymatogaster aggregata",0,0,"Low",7,27,1423.05
"Burial","15","1","Cymatogaster aggregata","Burial_15_1","Burial_15_1_Cymatogaster aggregata",0,0,"High",3,12,45.57
"Coffin","15","1","Cymatogaster aggregata","Coffin_15_1","Coffin_15_1_Cymatogaster aggregata",0,0,"Low",5,16,191.03
"Dragon","15","1","Cymatogaster aggregata","Dragon_15_1","Dragon_15_1_Cymatogaster aggregata",0,0,"Low",7,44,5167.22
"Georgina","15","1","Cymatogaster aggregata","Georgina_15_1","Georgina_15_1_Cymatogaster aggregata",0,0,"Low",7,46,4282.72
"Grainger","15","1","Cymatogaster aggregata","Grainger_15_1","Grainger_15_1_Cymatogaster aggregata",0,0,"High",8,42,10868.44
"Josef","15","1","Cymatogaster aggregata","Josef_15_1","Josef_15_1_Cymatogaster aggregata",0,0,"High",6,39,8799.9
"McKenzie","15","1","Cymatogaster aggregata","McKenzie_15_1","McKenzie_15_1_Cymatogaster aggregata",0,0,"Low",6,14,1411.65
"Porlier","15","1","Cymatogaster aggregata","Porlier_15_1","Porlier_15_1_Cymatogaster aggregata",0,0,"High",7,46,8713.67
"Snake","15","1","Cymatogaster aggregata","Snake_15_1","Snake_15_1_Cymatogaster aggregata",0,0,"Low",3,28,7571.81
"Anniversary","3","2","Cymatogaster aggregata","Anniversary_3_2","Anniversary_3_2_Cymatogaster aggregata",0,0,"Low",5,61,756.36
"Burial","3","2","Cymatogaster aggregata","Burial_3_2","Burial_3_2_Cymatogaster aggregata",0,0,"High",3,61,375.03
"Coffin","3","2","Cymatogaster aggregata","Coffin_3_2","Coffin_3_2_Cymatogaster aggregata",0,0,"Low",4,10,17.4
"Dragon","3","2","Cymatogaster aggregata","Dragon_3_2","Dragon_3_2_Cymatogaster aggregata",0,0,"Low",6,28,305.28
"Georgina","3","2","Cymatogaster aggregata","Georgina_3_2","Georgina_3_2_Cymatogaster aggregata",0,0,"Low",5,6,4691.88
"Grainger","3","2","Cymatogaster aggregata","Grainger_3_2","Grainger_3_2_Cymatogaster aggregata",0,0,"High",3,3,92.02
"Josef","3","2","Cymatogaster aggregata","Josef_3_2","Josef_3_2_Cymatogaster aggregata",0,0,"High",7,43,4102.42
"McKenzie","3","2","Cymatogaster aggregata","McKenzie_3_2","McKenzie_3_2_Cymatogaster aggregata",0,0,"Low",4,17,100.77
"Porlier","3","2","Cymatogaster aggregata","Porlier_3_2","Porlier_3_2_Cymatogaster aggregata",0,0,"High",3,11,7847.72
"Snake","3","2","Cymatogaster aggregata","Snake_3_2","Snake_3_2_Cymatogaster aggregata",0,0,"Low",5,21,6263.96
"Anniversary","15","2","Cymatogaster aggregata","Anniversary_15_2","Anniversary_15_2_Cymatogaster aggregata",12,83.45,"Low",3,18,151.28
"Burial","15","2","Cymatogaster aggregata","Burial_15_2","Burial_15_2_Cymatogaster aggregata",0,0,"High",4,30,39.61
"Coffin","15","2","Cymatogaster aggregata","Coffin_15_2","Coffin_15_2_Cymatogaster aggregata",0,0,"Low",4,15,393.28
"Dragon","15","2","Cymatogaster aggregata","Dragon_15_2","Dragon_15_2_Cymatogaster aggregata",250,629.31,"Low",7,266,2677.39
"Georgina","15","2","Cymatogaster aggregata","Georgina_15_2","Georgina_15_2_Cymatogaster aggregata",0,0,"Low",5,37,1010.88
"Grainger","15","2","Cymatogaster aggregata","Grainger_15_2","Grainger_15_2_Cymatogaster aggregata",0,0,"High",5,47,8353.74
"Josef","15","2","Cymatogaster aggregata","Josef_15_2","Josef_15_2_Cymatogaster aggregata",0,0,"High",7,45,19741.24
"McKenzie","15","2","Cymatogaster aggregata","McKenzie_15_2","McKenzie_15_2_Cymatogaster aggregata",0,0,"Low",8,31,648.39
"Porlier","15","2","Cymatogaster aggregata","Porlier_15_2","Porlier_15_2_Cymatogaster aggregata",0,0,"High",8,91,2369.37
"Snake","15","2","Cymatogaster aggregata","Snake_15_2","Snake_15_2_Cymatogaster aggregata",0,0,"Low",7,112,6273.52
"Anniversary","3","3","Cymatogaster aggregata","Anniversary_3_3","Anniversary_3_3_Cymatogaster aggregata",0,0,"Low",3,48,1294.89
"Burial","3","3","Cymatogaster aggregata","Burial_3_3","Burial_3_3_Cymatogaster aggregata",0,0,"High",3,6,16.09
"Coffin","3","3","Cymatogaster aggregata","Coffin_3_3","Coffin_3_3_Cymatogaster aggregata",0,0,"Low",3,7,6.97
"Dragon","3","3","Cymatogaster aggregata","Dragon_3_3","Dragon_3_3_Cymatogaster aggregata",0,0,"Low",7,28,471.87
"Georgina","3","3","Cymatogaster aggregata","Georgina_3_3","Georgina_3_3_Cymatogaster aggregata",0,0,"Low",3,3,112.72
"Grainger","3","3","Cymatogaster aggregata","Grainger_3_3","Grainger_3_3_Cymatogaster aggregata",0,0,"High",7,18,3116.84
"Josef","3","3","Cymatogaster aggregata","Josef_3_3","Josef_3_3_Cymatogaster aggregata",0,0,"High",5,45,1772.58
"McKenzie","3","3","Cymatogaster aggregata","McKenzie_3_3","McKenzie_3_3_Cymatogaster aggregata",0,0,"Low",5,28,130.43
"Porlier","3","3","Cymatogaster aggregata","Porlier_3_3","Porlier_3_3_Cymatogaster aggregata",0,0,"High",7,24,18165.49
"Snake","3","3","Cymatogaster aggregata","Snake_3_3","Snake_3_3_Cymatogaster aggregata",0,0,"Low",3,21,1631.16
"Anniversary","15","3","Cymatogaster aggregata","Anniversary_15_3","Anniversary_15_3_Cymatogaster aggregata",0,0,"Low",3,47,9442.15
"Burial","15","3","Cymatogaster aggregata","Burial_15_3","Burial_15_3_Cymatogaster aggregata",0,0,"High",1,24,11.86
"Coffin","15","3","Cymatogaster aggregata","Coffin_15_3","Coffin_15_3_Cymatogaster aggregata",0,0,"Low",5,32,88.42
"Dragon","15","3","Cymatogaster aggregata","Dragon_15_3","Dragon_15_3_Cymatogaster aggregata",0,0,"Low",5,72,5875.21
"Georgina","15","3","Cymatogaster aggregata","Georgina_15_3","Georgina_15_3_Cymatogaster aggregata",0,0,"Low",7,58,343.89
"Grainger","15","3","Cymatogaster aggregata","Grainger_15_3","Grainger_15_3_Cymatogaster aggregata",0,0,"High",5,89,2108.31
"Josef","15","3","Cymatogaster aggregata","Josef_15_3","Josef_15_3_Cymatogaster aggregata",0,0,"High",6,41,2123.88
"McKenzie","15","3","Cymatogaster aggregata","McKenzie_15_3","McKenzie_15_3_Cymatogaster aggregata",0,0,"Low",5,22,13815.55
"Porlier","15","3","Cymatogaster aggregata","Porlier_15_3","Porlier_15_3_Cymatogaster aggregata",0,0,"High",8,81,7335.53
"Snake","15","3","Cymatogaster aggregata","Snake_15_3","Snake_15_3_Cymatogaster aggregata",0,0,"Low",6,50,1202.35
"Burial","3","4","Cymatogaster aggregata","Burial_3_4","Burial_3_4_Cymatogaster aggregata",0,0,"High",1,10,7.96
"Dragon","3","4","Cymatogaster aggregata","Dragon_3_4","Dragon_3_4_Cymatogaster aggregata",0,0,"Low",4,14,1149.48
"McKenzie","3","4","Cymatogaster aggregata","McKenzie_3_4","McKenzie_3_4_Cymatogaster aggregata",0,0,"Low",5,24,90.11
"Snake","3","4","Cymatogaster aggregata","Snake_3_4","Snake_3_4_Cymatogaster aggregata",0,0,"Low",5,9,16.36
"Anniversary","15","4","Cymatogaster aggregata","Anniversary_15_4","Anniversary_15_4_Cymatogaster aggregata",0,0,"Low",2,14,44.36
"Burial","15","4","Cymatogaster aggregata","Burial_15_4","Burial_15_4_Cymatogaster aggregata",0,0,"High",4,20,196.44
"Dragon","15","4","Cymatogaster aggregata","Dragon_15_4","Dragon_15_4_Cymatogaster aggregata",500,641.54,"Low",8,524,2616.28
"McKenzie","15","4","Cymatogaster aggregata","McKenzie_15_4","McKenzie_15_4_Cymatogaster aggregata",0,0,"Low",6,14,66.1
"Snake","15","4","Cymatogaster aggregata","Snake_15_4","Snake_15_4_Cymatogaster aggregata",0,0,"Low",5,38,10212.97
"Anniversary","3","1","Embiotoca lateralis","Anniversary_3_1","Anniversary_3_1_Embiotoca lateralis",16,321.09,"Low",8,206,2214.53
"Burial","3","1","Embiotoca lateralis","Burial_3_1","Burial_3_1_Embiotoca lateralis",1,84.43,"High",5,11,6072.13
"Coffin","3","1","Embiotoca lateralis","Coffin_3_1","Coffin_3_1_Embiotoca lateralis",0,0,"Low",7,27,84.02
"Dragon","3","1","Embiotoca lateralis","Dragon_3_1","Dragon_3_1_Embiotoca lateralis",13,265.45,"Low",7,75,766.57
"Georgina","3","1","Embiotoca lateralis","Georgina_3_1","Georgina_3_1_Embiotoca lateralis",0,0,"Low",3,7,9516.84
"Grainger","3","1","Embiotoca lateralis","Grainger_3_1","Grainger_3_1_Embiotoca lateralis",6,468.47,"High",4,24,943.43
"Josef","3","1","Embiotoca lateralis","Josef_3_1","Josef_3_1_Embiotoca lateralis",61,2437.6,"High",7,78,3728.68
"McKenzie","3","1","Embiotoca lateralis","McKenzie_3_1","McKenzie_3_1_Embiotoca lateralis",1,324.95,"Low",7,24,3056.39
"Porlier","3","1","Embiotoca lateralis","Porlier_3_1","Porlier_3_1_Embiotoca lateralis",11,121.27,"High",7,85,5459.05
"Snake","3","1","Embiotoca lateralis","Snake_3_1","Snake_3_1_Embiotoca lateralis",0,0,"Low",1,1,1.86
"Anniversary","15","1","Embiotoca lateralis","Anniversary_15_1","Anniversary_15_1_Embiotoca lateralis",1,0.54,"Low",7,27,1423.05
"Burial","15","1","Embiotoca lateralis","Burial_15_1","Burial_15_1_Embiotoca lateralis",0,0,"High",3,12,45.57
"Coffin","15","1","Embiotoca lateralis","Coffin_15_1","Coffin_15_1_Embiotoca lateralis",0,0,"Low",5,16,191.03
"Dragon","15","1","Embiotoca lateralis","Dragon_15_1","Dragon_15_1_Embiotoca lateralis",0,0,"Low",7,44,5167.22
"Georgina","15","1","Embiotoca lateralis","Georgina_15_1","Georgina_15_1_Embiotoca lateralis",0,0,"Low",7,46,4282.72
"Grainger","15","1","Embiotoca lateralis","Grainger_15_1","Grainger_15_1_Embiotoca lateralis",4,155.61,"High",8,42,10868.44
"Josef","15","1","Embiotoca lateralis","Josef_15_1","Josef_15_1_Embiotoca lateralis",3,46.45,"High",6,39,8799.9
"McKenzie","15","1","Embiotoca lateralis","McKenzie_15_1","McKenzie_15_1_Embiotoca lateralis",1,10.41,"Low",6,14,1411.65
"Porlier","15","1","Embiotoca lateralis","Porlier_15_1","Porlier_15_1_Embiotoca lateralis",0,0,"High",7,46,8713.67
"Snake","15","1","Embiotoca lateralis","Snake_15_1","Snake_15_1_Embiotoca lateralis",0,0,"Low",3,28,7571.81
"Anniversary","3","2","Embiotoca lateralis","Anniversary_3_2","Anniversary_3_2_Embiotoca lateralis",12,401.78,"Low",5,61,756.36
"Burial","3","2","Embiotoca lateralis","Burial_3_2","Burial_3_2_Embiotoca lateralis",9,50.38,"High",3,61,375.03
"Coffin","3","2","Embiotoca lateralis","Coffin_3_2","Coffin_3_2_Embiotoca lateralis",0,0,"Low",4,10,17.4
"Dragon","3","2","Embiotoca lateralis","Dragon_3_2","Dragon_3_2_Embiotoca lateralis",3,40.12,"Low",6,28,305.28
"Georgina","3","2","Embiotoca lateralis","Georgina_3_2","Georgina_3_2_Embiotoca lateralis",2,50.27,"Low",5,6,4691.88
"Grainger","3","2","Embiotoca lateralis","Grainger_3_2","Grainger_3_2_Embiotoca lateralis",1,10.41,"High",3,3,92.02
"Josef","3","2","Embiotoca lateralis","Josef_3_2","Josef_3_2_Embiotoca lateralis",24,654.89,"High",7,43,4102.42
"McKenzie","3","2","Embiotoca lateralis","McKenzie_3_2","McKenzie_3_2_Embiotoca lateralis",0,0,"Low",4,17,100.77
"Porlier","3","2","Embiotoca lateralis","Porlier_3_2","Porlier_3_2_Embiotoca lateralis",0,0,"High",3,11,7847.72
"Snake","3","2","Embiotoca lateralis","Snake_3_2","Snake_3_2_Embiotoca lateralis",0,0,"Low",5,21,6263.96
"Anniversary","15","2","Embiotoca lateralis","Anniversary_15_2","Anniversary_15_2_Embiotoca lateralis",3,54.6,"Low",3,18,151.28
"Burial","15","2","Embiotoca lateralis","Burial_15_2","Burial_15_2_Embiotoca lateralis",0,0,"High",4,30,39.61
"Coffin","15","2","Embiotoca lateralis","Coffin_15_2","Coffin_15_2_Embiotoca lateralis",0,0,"Low",4,15,393.28
"Dragon","15","2","Embiotoca lateralis","Dragon_15_2","Dragon_15_2_Embiotoca lateralis",3,140.3,"Low",7,266,2677.39
"Georgina","15","2","Embiotoca lateralis","Georgina_15_2","Georgina_15_2_Embiotoca lateralis",0,0,"Low",5,37,1010.88
"Grainger","15","2","Embiotoca lateralis","Grainger_15_2","Grainger_15_2_Embiotoca lateralis",4,267.56,"High",5,47,8353.74
"Josef","15","2","Embiotoca lateralis","Josef_15_2","Josef_15_2_Embiotoca lateralis",2,105.75,"High",7,45,19741.24
"McKenzie","15","2","Embiotoca lateralis","McKenzie_15_2","McKenzie_15_2_Embiotoca lateralis",2,21.81,"Low",8,31,648.39
"Porlier","15","2","Embiotoca lateralis","Porlier_15_2","Porlier_15_2_Embiotoca lateralis",32,487.71,"High",8,91,2369.37
"Snake","15","2","Embiotoca lateralis","Snake_15_2","Snake_15_2_Embiotoca lateralis",18,490.13,"Low",7,112,6273.52
"Anniversary","3","3","Embiotoca lateralis","Anniversary_3_3","Anniversary_3_3_Embiotoca lateralis",34,1247.79,"Low",3,48,1294.89
"Burial","3","3","Embiotoca lateralis","Burial_3_3","Burial_3_3_Embiotoca lateralis",0,0,"High",3,6,16.09
"Coffin","3","3","Embiotoca lateralis","Coffin_3_3","Coffin_3_3_Embiotoca lateralis",0,0,"Low",3,7,6.97
"Dragon","3","3","Embiotoca lateralis","Dragon_3_3","Dragon_3_3_Embiotoca lateralis",14,405.82,"Low",7,28,471.87
"Georgina","3","3","Embiotoca lateralis","Georgina_3_3","Georgina_3_3_Embiotoca lateralis",0,0,"Low",3,3,112.72
"Grainger","3","3","Embiotoca lateralis","Grainger_3_3","Grainger_3_3_Embiotoca lateralis",0,0,"High",7,18,3116.84
"Josef","3","3","Embiotoca lateralis","Josef_3_3","Josef_3_3_Embiotoca lateralis",31,712.72,"High",5,45,1772.58
"McKenzie","3","3","Embiotoca lateralis","McKenzie_3_3","McKenzie_3_3_Embiotoca lateralis",0,0,"Low",5,28,130.43
"Porlier","3","3","Embiotoca lateralis","Porlier_3_3","Porlier_3_3_Embiotoca lateralis",5,382.8,"High",7,24,18165.49
"Snake","3","3","Embiotoca lateralis","Snake_3_3","Snake_3_3_Embiotoca lateralis",12,676.9,"Low",3,21,1631.16
"Anniversary","15","3","Embiotoca lateralis","Anniversary_15_3","Anniversary_15_3_Embiotoca lateralis",0,0,"Low",3,47,9442.15
"Burial","15","3","Embiotoca lateralis","Burial_15_3","Burial_15_3_Embiotoca lateralis",0,0,"High",1,24,11.86
"Coffin","15","3","Embiotoca lateralis","Coffin_15_3","Coffin_15_3_Embiotoca lateralis",0,0,"Low",5,32,88.42
"Dragon","15","3","Embiotoca lateralis","Dragon_15_3","Dragon_15_3_Embiotoca lateralis",1,56.41,"Low",5,72,5875.21
"Georgina","15","3","Embiotoca lateralis","Georgina_15_3","Georgina_15_3_Embiotoca lateralis",0,0,"Low",7,58,343.89
"Grainger","15","3","Embiotoca lateralis","Grainger_15_3","Grainger_15_3_Embiotoca lateralis",19,1034.86,"High",5,89,2108.31
"Josef","15","3","Embiotoca lateralis","Josef_15_3","Josef_15_3_Embiotoca lateralis",1,84.43,"High",6,41,2123.88
"McKenzie","15","3","Embiotoca lateralis","McKenzie_15_3","McKenzie_15_3_Embiotoca lateralis",0,0,"Low",5,22,13815.55
"Porlier","15","3","Embiotoca lateralis","Porlier_15_3","Porlier_15_3_Embiotoca lateralis",16,1622.22,"High",8,81,7335.53
"Snake","15","3","Embiotoca lateralis","Snake_15_3","Snake_15_3_Embiotoca lateralis",1,56.41,"Low",6,50,1202.35
"Burial","3","4","Embiotoca lateralis","Burial_3_4","Burial_3_4_Embiotoca lateralis",0,0,"High",1,10,7.96
"Dragon","3","4","Embiotoca lateralis","Dragon_3_4","Dragon_3_4_Embiotoca lateralis",0,0,"Low",4,14,1149.48
"McKenzie","3","4","Embiotoca lateralis","McKenzie_3_4","McKenzie_3_4_Embiotoca lateralis",0,0,"Low",5,24,90.11
"Snake","3","4","Embiotoca lateralis","Snake_3_4","Snake_3_4_Embiotoca lateralis",0,0,"Low",5,9,16.36
"Anniversary","15","4","Embiotoca lateralis","Anniversary_15_4","Anniversary_15_4_Embiotoca lateralis",0,0,"Low",2,14,44.36
"Burial","15","4","Embiotoca lateralis","Burial_15_4","Burial_15_4_Embiotoca lateralis",0,0,"High",4,20,196.44
"Dragon","15","4","Embiotoca lateralis","Dragon_15_4","Dragon_15_4_Embiotoca lateralis",2,62.64,"Low",8,524,2616.28
"McKenzie","15","4","Embiotoca lateralis","McKenzie_15_4","McKenzie_15_4_Embiotoca lateralis",0,0,"Low",6,14,66.1
"Snake","15","4","Embiotoca lateralis","Snake_15_4","Snake_15_4_Embiotoca lateralis",0,0,"Low",5,38,10212.97
"Anniversary","3","1","Enophrys bison","Anniversary_3_1","Anniversary_3_1_Enophrys bison",0,0,"Low",8,206,2214.53
"Burial","3","1","Enophrys bison","Burial_3_1","Burial_3_1_Enophrys bison",0,0,"High",5,11,6072.13
"Coffin","3","1","Enophrys bison","Coffin_3_1","Coffin_3_1_Enophrys bison",0,0,"Low",7,27,84.02
"Dragon","3","1","Enophrys bison","Dragon_3_1","Dragon_3_1_Enophrys bison",0,0,"Low",7,75,766.57
"Georgina","3","1","Enophrys bison","Georgina_3_1","Georgina_3_1_Enophrys bison",0,0,"Low",3,7,9516.84
"Grainger","3","1","Enophrys bison","Grainger_3_1","Grainger_3_1_Enophrys bison",0,0,"High",4,24,943.43
"Josef","3","1","Enophrys bison","Josef_3_1","Josef_3_1_Enophrys bison",0,0,"High",7,78,3728.68
"McKenzie","3","1","Enophrys bison","McKenzie_3_1","McKenzie_3_1_Enophrys bison",0,0,"Low",7,24,3056.39
"Porlier","3","1","Enophrys bison","Porlier_3_1","Porlier_3_1_Enophrys bison",0,0,"High",7,85,5459.05
"Snake","3","1","Enophrys bison","Snake_3_1","Snake_3_1_Enophrys bison",0,0,"Low",1,1,1.86
"Anniversary","15","1","Enophrys bison","Anniversary_15_1","Anniversary_15_1_Enophrys bison",0,0,"Low",7,27,1423.05
"Burial","15","1","Enophrys bison","Burial_15_1","Burial_15_1_Enophrys bison",0,0,"High",3,12,45.57
"Coffin","15","1","Enophrys bison","Coffin_15_1","Coffin_15_1_Enophrys bison",0,0,"Low",5,16,191.03
"Dragon","15","1","Enophrys bison","Dragon_15_1","Dragon_15_1_Enophrys bison",0,0,"Low",7,44,5167.22
"Georgina","15","1","Enophrys bison","Georgina_15_1","Georgina_15_1_Enophrys bison",0,0,"Low",7,46,4282.72
"Grainger","15","1","Enophrys bison","Grainger_15_1","Grainger_15_1_Enophrys bison",0,0,"High",8,42,10868.44
"Josef","15","1","Enophrys bison","Josef_15_1","Josef_15_1_Enophrys bison",0,0,"High",6,39,8799.9
"McKenzie","15","1","Enophrys bison","McKenzie_15_1","McKenzie_15_1_Enophrys bison",0,0,"Low",6,14,1411.65
"Porlier","15","1","Enophrys bison","Porlier_15_1","Porlier_15_1_Enophrys bison",0,0,"High",7,46,8713.67
"Snake","15","1","Enophrys bison","Snake_15_1","Snake_15_1_Enophrys bison",0,0,"Low",3,28,7571.81
"Anniversary","3","2","Enophrys bison","Anniversary_3_2","Anniversary_3_2_Enophrys bison",0,0,"Low",5,61,756.36
"Burial","3","2","Enophrys bison","Burial_3_2","Burial_3_2_Enophrys bison",1,146.19,"High",3,61,375.03
"Coffin","3","2","Enophrys bison","Coffin_3_2","Coffin_3_2_Enophrys bison",0,0,"Low",4,10,17.4
"Dragon","3","2","Enophrys bison","Dragon_3_2","Dragon_3_2_Enophrys bison",0,0,"Low",6,28,305.28
"Georgina","3","2","Enophrys bison","Georgina_3_2","Georgina_3_2_Enophrys bison",0,0,"Low",5,6,4691.88
"Grainger","3","2","Enophrys bison","Grainger_3_2","Grainger_3_2_Enophrys bison",0,0,"High",3,3,92.02
"Josef","3","2","Enophrys bison","Josef_3_2","Josef_3_2_Enophrys bison",0,0,"High",7,43,4102.42
"McKenzie","3","2","Enophrys bison","McKenzie_3_2","McKenzie_3_2_Enophrys bison",0,0,"Low",4,17,100.77
"Porlier","3","2","Enophrys bison","Porlier_3_2","Porlier_3_2_Enophrys bison",0,0,"High",3,11,7847.72
"Snake","3","2","Enophrys bison","Snake_3_2","Snake_3_2_Enophrys bison",0,0,"Low",5,21,6263.96
"Anniversary","15","2","Enophrys bison","Anniversary_15_2","Anniversary_15_2_Enophrys bison",0,0,"Low",3,18,151.28
"Burial","15","2","Enophrys bison","Burial_15_2","Burial_15_2_Enophrys bison",0,0,"High",4,30,39.61
"Coffin","15","2","Enophrys bison","Coffin_15_2","Coffin_15_2_Enophrys bison",0,0,"Low",4,15,393.28
"Dragon","15","2","Enophrys bison","Dragon_15_2","Dragon_15_2_Enophrys bison",0,0,"Low",7,266,2677.39
"Georgina","15","2","Enophrys bison","Georgina_15_2","Georgina_15_2_Enophrys bison",0,0,"Low",5,37,1010.88
"Grainger","15","2","Enophrys bison","Grainger_15_2","Grainger_15_2_Enophrys bison",0,0,"High",5,47,8353.74
"Josef","15","2","Enophrys bison","Josef_15_2","Josef_15_2_Enophrys bison",0,0,"High",7,45,19741.24
"McKenzie","15","2","Enophrys bison","McKenzie_15_2","McKenzie_15_2_Enophrys bison",0,0,"Low",8,31,648.39
"Porlier","15","2","Enophrys bison","Porlier_15_2","Porlier_15_2_Enophrys bison",0,0,"High",8,91,2369.37
"Snake","15","2","Enophrys bison","Snake_15_2","Snake_15_2_Enophrys bison",0,0,"Low",7,112,6273.52
"Anniversary","3","3","Enophrys bison","Anniversary_3_3","Anniversary_3_3_Enophrys bison",0,0,"Low",3,48,1294.89
"Burial","3","3","Enophrys bison","Burial_3_3","Burial_3_3_Enophrys bison",0,0,"High",3,6,16.09
"Coffin","3","3","Enophrys bison","Coffin_3_3","Coffin_3_3_Enophrys bison",0,0,"Low",3,7,6.97
"Dragon","3","3","Enophrys bison","Dragon_3_3","Dragon_3_3_Enophrys bison",0,0,"Low",7,28,471.87
"Georgina","3","3","Enophrys bison","Georgina_3_3","Georgina_3_3_Enophrys bison",0,0,"Low",3,3,112.72
"Grainger","3","3","Enophrys bison","Grainger_3_3","Grainger_3_3_Enophrys bison",0,0,"High",7,18,3116.84
"Josef","3","3","Enophrys bison","Josef_3_3","Josef_3_3_Enophrys bison",0,0,"High",5,45,1772.58
"McKenzie","3","3","Enophrys bison","McKenzie_3_3","McKenzie_3_3_Enophrys bison",0,0,"Low",5,28,130.43
"Porlier","3","3","Enophrys bison","Porlier_3_3","Porlier_3_3_Enophrys bison",0,0,"High",7,24,18165.49
"Snake","3","3","Enophrys bison","Snake_3_3","Snake_3_3_Enophrys bison",0,0,"Low",3,21,1631.16
"Anniversary","15","3","Enophrys bison","Anniversary_15_3","Anniversary_15_3_Enophrys bison",0,0,"Low",3,47,9442.15
"Burial","15","3","Enophrys bison","Burial_15_3","Burial_15_3_Enophrys bison",0,0,"High",1,24,11.86
"Coffin","15","3","Enophrys bison","Coffin_15_3","Coffin_15_3_Enophrys bison",0,0,"Low",5,32,88.42
"Dragon","15","3","Enophrys bison","Dragon_15_3","Dragon_15_3_Enophrys bison",0,0,"Low",5,72,5875.21
"Georgina","15","3","Enophrys bison","Georgina_15_3","Georgina_15_3_Enophrys bison",0,0,"Low",7,58,343.89
"Grainger","15","3","Enophrys bison","Grainger_15_3","Grainger_15_3_Enophrys bison",0,0,"High",5,89,2108.31
"Josef","15","3","Enophrys bison","Josef_15_3","Josef_15_3_Enophrys bison",0,0,"High",6,41,2123.88
"McKenzie","15","3","Enophrys bison","McKenzie_15_3","McKenzie_15_3_Enophrys bison",0,0,"Low",5,22,13815.55
"Porlier","15","3","Enophrys bison","Porlier_15_3","Porlier_15_3_Enophrys bison",0,0,"High",8,81,7335.53
"Snake","15","3","Enophrys bison","Snake_15_3","Snake_15_3_Enophrys bison",0,0,"Low",6,50,1202.35
"Burial","3","4","Enophrys bison","Burial_3_4","Burial_3_4_Enophrys bison",0,0,"High",1,10,7.96
"Dragon","3","4","Enophrys bison","Dragon_3_4","Dragon_3_4_Enophrys bison",0,0,"Low",4,14,1149.48
"McKenzie","3","4","Enophrys bison","McKenzie_3_4","McKenzie_3_4_Enophrys bison",0,0,"Low",5,24,90.11
"Snake","3","4","Enophrys bison","Snake_3_4","Snake_3_4_Enophrys bison",0,0,"Low",5,9,16.36
"Anniversary","15","4","Enophrys bison","Anniversary_15_4","Anniversary_15_4_Enophrys bison",0,0,"Low",2,14,44.36
"Burial","15","4","Enophrys bison","Burial_15_4","Burial_15_4_Enophrys bison",0,0,"High",4,20,196.44
"Dragon","15","4","Enophrys bison","Dragon_15_4","Dragon_15_4_Enophrys bison",0,0,"Low",8,524,2616.28
"McKenzie","15","4","Enophrys bison","McKenzie_15_4","McKenzie_15_4_Enophrys bison",0,0,"Low",6,14,66.1
"Snake","15","4","Enophrys bison","Snake_15_4","Snake_15_4_Enophrys bison",0,0,"Low",5,38,10212.97
"Anniversary","3","1","Gobiesox maeandricus","Anniversary_3_1","Anniversary_3_1_Gobiesox maeandricus",0,0,"Low",8,206,2214.53
"Burial","3","1","Gobiesox maeandricus","Burial_3_1","Burial_3_1_Gobiesox maeandricus",0,0,"High",5,11,6072.13
"Coffin","3","1","Gobiesox maeandricus","Coffin_3_1","Coffin_3_1_Gobiesox maeandricus",1,0.41,"Low",7,27,84.02
"Dragon","3","1","Gobiesox maeandricus","Dragon_3_1","Dragon_3_1_Gobiesox maeandricus",0,0,"Low",7,75,766.57
"Georgina","3","1","Gobiesox maeandricus","Georgina_3_1","Georgina_3_1_Gobiesox maeandricus",0,0,"Low",3,7,9516.84
"Grainger","3","1","Gobiesox maeandricus","Grainger_3_1","Grainger_3_1_Gobiesox maeandricus",0,0,"High",4,24,943.43
"Josef","3","1","Gobiesox maeandricus","Josef_3_1","Josef_3_1_Gobiesox maeandricus",0,0,"High",7,78,3728.68
"McKenzie","3","1","Gobiesox maeandricus","McKenzie_3_1","McKenzie_3_1_Gobiesox maeandricus",0,0,"Low",7,24,3056.39
"Porlier","3","1","Gobiesox maeandricus","Porlier_3_1","Porlier_3_1_Gobiesox maeandricus",0,0,"High",7,85,5459.05
"Snake","3","1","Gobiesox maeandricus","Snake_3_1","Snake_3_1_Gobiesox maeandricus",0,0,"Low",1,1,1.86
"Anniversary","15","1","Gobiesox maeandricus","Anniversary_15_1","Anniversary_15_1_Gobiesox maeandricus",0,0,"Low",7,27,1423.05
"Burial","15","1","Gobiesox maeandricus","Burial_15_1","Burial_15_1_Gobiesox maeandricus",0,0,"High",3,12,45.57
"Coffin","15","1","Gobiesox maeandricus","Coffin_15_1","Coffin_15_1_Gobiesox maeandricus",0,0,"Low",5,16,191.03
